"Age","Used.Last.Month.Cosmetics","Used.Last.Month.Perfumes","Used.Last.Month.Skincare","Purchase.Frequency.Cosmetics","Purchase.Frequency.Perfumes","Purchase.Frequency.Skincare","POS.Department.Stores","POS.Boutiques","POS.Duty.Free","POS.Online","Purchase.Amount.Cosmetics","Purchase.Amount.Perfumes","Purchase.Amount.Skincare","Purchase.Touchpoint.Friends.and.Family.Cosmetics","Purchase.Touchpoint.Friends.and.Family.Perfumes","Purchase.Touchpoint.Friends.and.Family.Skincare","Purchase.Touchpoint.Magazines.Cosmetics","Purchase.Touchpoint.Magazines.Perfumes","Purchase.Touchpoint.Magazines.Skincare","Purchase.Touchpoint.Web.Sites.and.Blogs.Cosmetics","Purchase.Touchpoint.Web.Sites.and.Blogs.Perfumes","Purchase.Touchpoint.Web.Sites.and.Blogs.Skincare","Purchase.Touchpoint.POS.Cosmetics","Purchase.Touchpoint.POS.Perfumes","Purchase.Touchpoint.POS.Skincare","Purchase.Touchpoint.Social.Media.Cosmetics","Purchase.Touchpoint.Social.Media.Perfumes","Purchase.Touchpoint.Social.Media.Skincare","Purchase.Touchpoint.TV.Cosmetics","Purchase.Touchpoint.TV.Perfumes","Purchase.Touchpoint.TV.Skincare","Purchase.Touchpoint.OOH.Cosmetics","Purchase.Touchpoint.OOH.Perfumes","Purchase.Touchpoint.OOH.Skincare","Purchase.Touchpoint.Online.Display.Cosmetics","Purchase.Touchpoint.Online.Display.Perfumes","Purchase.Touchpoint.Online.Display.Skincare","Activity.Frequency.Restaurants","Activity.Frequency.Movie.Theater","Activity.Frequency.Theater.and.Shows","Activity.Frequency.Bars.and.Night.Clubs","Activity.Frequency.Excercise","Actitude.Luxury.Category","Actitude.Luxury.Purchases","Actitude.Tendencies.Cosmetics","Actitude.Tendencies.Perfumes","Actitude.Tendencies.Skincare","Brand.Identification.Cosmetics","Brand.Identification.Perfumes","Brand.Identification.Skincare","Purchase.Chanel.Cosmetics","Purchase.Chanel.Perfumes","Purchase.Chanel.Skincare","Marital.Status","Motherhood.Status","Educational.Level","Occupation","Socioeconomic.Status"
46,"Sí","Sí","Sí",12,0,3,1,0,0,0,500,500,500,1,0,0,1,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,1,0,30,30,90,30,30,"Un precio alto","He trabajado duro para tenerlos","Me gusta adoptar rápidamente las nuevas tendencias","Nunca estoy familiarizada con las nuevas tendencias","Generalmente estoy poco familiarizada con las nuevas tendencias","Clinique","Chance","Lancomê","No","No","Sí","Divorciada/Separada","Sí","Báscio / Ensino Fundamental","PROFESIONISTA",1
37,"Sí","Sí","Sí",3,3,3,1,1,0,0,2000,2000,2000,0,0,1,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,15,30,0,0,7,"Exclusividad","Me gusta ser diferente","Me gusta adoptar rápidamente las nuevas tendencias","Generalmente estoy poco familiarizada con las nuevas tendencias","Nunca estoy familiarizada con las nuevas tendencias","Chanel","Coco Mademoiselle","Clarins","Sí","Sí","No","Soltera","Sí","Licenciatura / Ensino Superior","EMPLEADA",1
28,"Sí","Sí","Sí",12,12,12,1,1,1,0,500,2000,2000,1,1,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,1,1,0,90,90,90,30,30,"Prestigio","Me gusta demostrar mi estatus","Me gusta adoptar rápidamente las nuevas tendencias","Generalmente estoy poco familiarizada con las nuevas tendencias","Me gusta adelantarme a las tendencias y ser pionera","Dior","212 VIP","Lancomê","Sí","Sí","Sí","Soltera","No","Licenciatura / Ensino Superior","ESTUDIANTE",2
31,"Sí","Sí","Sí",3,6,1,1,1,0,0,2000,2000,2000,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1,0,0,0,0,15,15,90,90,7,"Calidad excepcional","Busco la mejor calidad","Generalmente estoy poco familiarizada con las nuevas tendencias","Nunca estoy familiarizada con las nuevas tendencias","Me gusta adelantarme a las tendencias y ser pionera","Otra. ¿Cuál?","J'adore","Clarins","Sí","No","No","Soltera","No","Licenciatura / Ensino Superior","PROFESIONISTA",1
32,"Sí","Sí","Sí",1,3,1,1,0,1,1,500,2000,500,0,1,1,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,1,7,7,15,15,15,"Calidad excepcional","Me gusta demostrar mi estatus","Adopto algunas de las tendencias después de conocerlas","Adopto algunas de las tendencias después de conocerlas","Nunca estoy familiarizada con las nuevas tendencias","MAC","Armani code","Biotherm","No","No","No","Casada","No","Licenciatura / Ensino Superior","PROFESIONISTA",1
46,"Sí","Sí","Sí",6,6,3,1,0,0,0,500,500,500,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,30,90,90,0,15,"Calidad excepcional","Busco la mejor calidad","Generalmente estoy poco familiarizada con las nuevas tendencias","Adopto algunas de las tendencias después de conocerlas","Adopto algunas de las tendencias después de conocerlas","Lancomê","No. 5","Lancomê","No","Sí","No","Divorciada/Separada","Sí","Báscio / Ensino Fundamental","AUTOEMPLEADA",1
42,"Sí","Sí","Sí",3,3,1,1,0,0,0,500,500,500,0,1,0,0,1,1,1,0,1,0,0,1,0,1,0,1,0,1,0,0,0,1,0,0,30,30,90,0,7,"Exclusividad","Busco la mejor calidad","Adopto algunas de las tendencias después de conocerlas","Generalmente estoy poco familiarizada con las nuevas tendencias","Generalmente estoy poco familiarizada con las nuevas tendencias","Otra. ¿Cuál?","paris hilton","jafra o mary kay","No","Sí","No","Soltera","No","Báscio / Ensino Fundamental","AUTOEMPLEADA",1
29,"Sí","Sí","Sí",6,12,6,1,0,0,0,500,3500,500,0,1,1,1,0,1,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,90,90,30,15,0,"Exclusividad","Estoy acostumbrada a ellos","Me gusta adelantarme a las tendencias y ser pionera","Adopto algunas de las tendencias después de conocerlas","Generalmente estoy poco familiarizada con las nuevas tendencias","MAC","CH","Clinique","No","Sí","No","Soltera","No","Licenciatura / Ensino Superior","PROFESIONISTA",1
40,"Sí","Sí","Sí",3,6,3,1,0,0,0,500,2000,500,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,30,15,90,90,7,"Calidad excepcional","He trabajado duro para tenerlos","Generalmente estoy poco familiarizada con las nuevas tendencias","Me gusta adoptar rápidamente las nuevas tendencias","Adopto algunas de las tendencias después de conocerlas","Clinique","J'adore","Clinique","No","Sí","No","Casada","Sí","Licenciatura / Ensino Superior","PROFESIONISTA",2
30,"Sí","Sí","Sí",6,12,6,1,0,0,0,500,500,500,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,90,90,0,0,90,"Calidad excepcional","He trabajado duro para tenerlos","Adopto algunas de las tendencias después de conocerlas","Generalmente estoy poco familiarizada con las nuevas tendencias","Adopto algunas de las tendencias después de conocerlas","Otra. ¿Cuál?","Paris hilton","eucerin","No","No","No","Soltera","No","Licenciatura / Ensino Superior","ESTUDIANTE",1
